season,week,team,division,record,playoff_prob,made_playoffs
2004,11,SD,AFC West,7-3,0.739,1
2004,11,GB,NFC North,6-4,0.693,1
2004,11,BAL,AFC North,7-3,0.594,0
2004,11,NYJ,AFC East,7-3,0.573,1
2004,11,STL,NFC West,5-5,0.512,1
2004,11,JAX,AFC South,6-4,0.474,0
2004,11,NYG,NFC East,5-5,0.392,0
2004,11,ARI,NFC West,4-6,0.213,0
2004,11,DET,NFC North,4-6,0.183,0
2004,11,CHI,NFC North,4-6,0.145,0
2004,11,NO,NFC South,4-6,0.131,0
2004,11,TB,NFC South,4-6,0.076,0
2004,11,HOU,AFC South,4-6,0.021,0
2004,11,TEN,AFC South,4-6,0.013,0
2004,11,WAS,NFC East,3-7,0.013,0
2004,11,BUF,AFC East,4-6,0.006,0
2004,11,CAR,NFC South,3-7,0.004,0
2004,11,CIN,AFC North,4-6,0.002,0
2004,11,DAL,NFC East,3-7,0.002,0
2004,11,KC,AFC West,3-7,0.002,0
2004,11,CLE,AFC North,3-7,0,0
2004,11,MIA,AFC East,1-9,0,0
2004,11,OAK,AFC West,3-7,0,0
2004,11,SF,NFC West,1-9,0,0
2004,12,ATL,NFC South,9-2,1,1
2004,12,NE,AFC East,10-1,1,1
2004,12,PHI,NFC East,10-1,1,1
2004,12,PIT,AFC North,10-1,1,1
2004,12,MIN,NFC North,7-4,0.958,1
2004,12,GB,NFC North,7-4,0.928,1
2004,12,SD,AFC West,8-3,0.897,1
2004,12,IND,AFC South,8-3,0.886,1
2004,12,SEA,NFC West,6-5,0.804,1
2004,12,NYJ,AFC East,8-3,0.754,1
2004,12,DEN,AFC West,7-4,0.602,1
2004,12,BAL,AFC North,7-4,0.556,0
2004,12,STL,NFC West,5-6,0.451,1
2004,12,NYG,NFC East,5-6,0.276,0
2004,12,JAX,AFC South,6-5,0.255,0
2004,12,ARI,NFC West,4-7,0.156,0
2004,12,DET,NFC North,4-7,0.124,0
2004,12,TB,NFC South,4-7,0.082,0
2004,12,CHI,NFC North,4-7,0.076,0
2004,12,NO,NFC South,4-7,0.076,0
2004,12,CAR,NFC South,4-7,0.034,0
2004,12,DAL,NFC East,4-7,0.023,0
2004,12,HOU,AFC South,5-6,0.021,0
2004,12,BUF,AFC East,5-6,0.015,0
2004,12,TEN,AFC South,4-7,0.013,0
2004,12,WAS,NFC East,3-8,0.013,0
2004,12,CIN,AFC North,5-6,0.002,0
2004,12,CLE,AFC North,3-8,0,0
2004,12,KC,AFC West,3-8,0,0
2004,12,MIA,AFC East,2-9,0,0
2004,12,OAK,AFC West,4-7,0,0
2004,12,SF,NFC West,1-10,0,0
2004,13,ATL,NFC South,9-3,1,1
2004,13,NE,AFC East,11-1,1,1
2004,13,PHI,NFC East,11-1,1,1
2004,13,PIT,AFC North,11-1,1,1
2004,13,IND,AFC South,9-3,0.987,1
2004,13,SD,AFC West,9-3,0.985,1
2004,13,NYJ,AFC East,9-3,0.956,1
2004,13,MIN,NFC North,7-5,0.954,1
2004,13,GB,NFC North,7-5,0.945,1
2004,13,SEA,NFC West,6-6,0.583,1
2004,13,STL,NFC West,6-6,0.579,1
2004,13,DEN,AFC West,7-5,0.562,1
2004,13,BAL,AFC North,7-5,0.284,0
2004,13,CAR,NFC South,5-7,0.154,0
2004,13,TB,NFC South,5-7,0.154,0
2004,13,DET,NFC North,5-7,0.141,0
2004,13,JAX,AFC South,6-6,0.131,0
2004,13,CHI,NFC North,5-7,0.126,0
2004,13,NYG,NFC East,5-7,0.118,0
2004,13,DAL,NFC East,5-7,0.112,0
2004,13,ARI,NFC West,4-8,0.101,0
2004,13,BUF,AFC East,6-6,0.061,0
2004,13,CIN,AFC North,6-6,0.029,0
2004,13,NO,NFC South,4-8,0.017,0
2004,13,WAS,NFC East,4-8,0.017,0
2004,13,HOU,AFC South,5-7,0.004,0
2004,13,CLE,AFC North,3-9,0,0
2004,13,KC,AFC West,4-8,0,0
2004,13,MIA,AFC East,2-10,0,0
2004,13,OAK,AFC West,4-8,0,0
2004,13,SF,NFC West,1-11,0,0
2004,13,TEN,AFC South,4-8,0,0
2004,14,ATL,NFC South,10-3,1,1
2004,14,NE,AFC East,12-1,1,1
2004,14,PHI,NFC East,12-1,1,1
2004,14,PIT,AFC North,12-1,1,1
2004,14,IND,AFC South,10-3,0.998,1
2004,14,SD,AFC West,10-3,0.998,1
2004,14,GB,NFC North,8-5,0.983,1
2004,14,NYJ,AFC East,9-4,0.928,1
2004,14,SEA,NFC West,7-6,0.886,1
2004,14,MIN,NFC North,7-6,0.876,1
2004,14,DEN,AFC West,8-5,0.514,1
2004,14,STL,NFC West,6-7,0.368,1
2004,14,BAL,AFC North,8-5,0.347,0
2004,14,CAR,NFC South,6-7,0.297,0
2004,14,TB,NFC South,5-8,0.187,0
2004,14,DET,NFC North,5-8,0.143,0
2004,14,JAX,AFC South,7-6,0.112,0
2004,14,BUF,AFC East,7-6,0.103,0
2004,14,CHI,NFC North,5-8,0.099,0
2004,14,NO,NFC South,5-8,0.055,0
2004,14,NYG,NFC East,5-8,0.048,0
2004,14,DAL,NFC East,5-8,0.038,0
2004,14,ARI,NFC West,4-9,0.017,0
2004,14,WAS,NFC East,4-9,0.002,0
2004,14,CIN,AFC North,6-7,0,0
2004,14,CLE,AFC North,3-10,0,0
2004,14,HOU,AFC South,5-8,0,0
2004,14,KC,AFC West,5-8,0,0
2004,14,MIA,AFC East,2-11,0,0
2004,14,OAK,AFC West,4-9,0,0
2004,14,SF,NFC West,2-11,0,0
2004,14,TEN,AFC South,4-9,0,0
2004,15,ATL,NFC South,11-3,1,1
2004,15,IND,AFC South,11-3,1,1
2004,15,MIN,NFC North,8-6,1,1
2004,15,NE,AFC East,12-2,1,1
2004,15,PHI,NFC East,13-1,1,1
2004,15,PIT,AFC North,13-1,1,1
2004,15,SD,AFC West,11-3,1,1
2004,15,GB,NFC North,8-6,0.996,1
2004,15,NYJ,AFC East,10-4,0.979,1
2004,15,SEA,NFC West,7-7,0.933,1
2004,15,CAR,NFC South,6-8,0.396,0
2004,15,JAX,AFC South,8-6,0.349,0
2004,15,DEN,AFC West,8-6,0.291,1
2004,15,STL,NFC West,6-8,0.223,1
2004,15,NO,NFC South,6-8,0.213,0
2004,15,BUF,AFC East,8-6,0.198,0
2004,15,BAL,AFC North,8-6,0.183,0
2004,15,ARI,NFC West,5-9,0.055,0
2004,15,TB,NFC South,5-9,0.055,0
2004,15,NYG,NFC East,5-9,0.04,0
2004,15,DET,NFC North,5-9,0.029,0
2004,15,DAL,NFC East,5-9,0.027,0
2004,15,CHI,NFC North,5-9,0.019,0
2004,15,WAS,NFC East,5-9,0.015,0
2004,15,CIN,AFC North,6-8,0,0
2004,15,CLE,AFC North,3-11,0,0
2004,15,HOU,AFC South,6-8,0,0
2004,15,KC,AFC West,6-8,0,0
2004,15,MIA,AFC East,3-11,0,0
2004,15,OAK,AFC West,5-9,0,0
2004,15,SF,NFC West,2-12,0,0
2004,15,TEN,AFC South,4-10,0,0
2004,16,ATL,NFC South,11-4,1,1
2004,16,GB,NFC North,9-6,1,1
2004,16,IND,AFC South,12-3,1,1
2004,16,NE,AFC East,13-2,1,1
2004,16,PHI,NFC East,13-2,1,1
2004,16,PIT,AFC North,14-1,1,1
2004,16,SD,AFC West,11-4,1,1
2004,16,NYJ,AFC East,10-5,0.977,1
2004,16,SEA,NFC West,8-7,0.952,1
2004,16,MIN,NFC North,8-7,0.945,1
2004,16,CAR,NFC South,7-8,0.482,0
2004,16,DEN,AFC West,9-6,0.467,1
2004,16,BUF,AFC East,9-6,0.394,0
2004,16,NO,NFC South,7-8,0.362,0
2004,16,STL,NFC West,7-8,0.259,1
2004,16,BAL,AFC North,8-7,0.103,0
2004,16,JAX,AFC South,8-7,0.059,0
2004,16,ARI,NFC West,5-10,0,0
2004,16,CHI,NFC North,5-10,0,0
2004,16,CIN,AFC North,7-8,0,0
2004,16,CLE,AFC North,3-12,0,0
2004,16,DAL,NFC East,6-9,0,0
2004,16,DET,NFC North,6-9,0,0
2004,16,HOU,AFC South,7-8,0,0
2004,16,KC,AFC West,7-8,0,0
2004,16,MIA,AFC East,4-11,0,0
2004,16,NYG,NFC East,5-10,0,0
2004,16,OAK,AFC West,5-10,0,0
2004,16,SF,NFC West,2-13,0,0
2004,16,TB,NFC South,5-10,0,0
2004,16,TEN,AFC South,4-11,0,0
2004,16,WAS,NFC East,5-10,0,0
2004,17,ATL,NFC South,11-5,1,1
2004,17,DEN,AFC West,10-6,1,1
2004,17,GB,NFC North,10-6,1,1
2004,17,IND,AFC South,12-4,1,1
2004,17,NE,AFC East,14-2,1,1
2004,17,NYJ,AFC East,10-6,1,1
2004,17,PHI,NFC East,13-3,1,1
2004,17,PIT,AFC North,15-1,1,1
2004,17,SD,AFC West,12-4,1,1
2004,17,SEA,NFC West,9-7,1,1
2004,17,STL,NFC West,8-8,1,1
2004,17,NO,NFC South,8-8,0,0
2004,17,MIN,NFC North,8-8,1,1
2004,17,ARI,NFC West,6-10,0,0
2004,17,BAL,AFC North,9-7,0,0
2004,17,BUF,AFC East,9-7,0,0
2004,17,CAR,NFC South,7-9,0,0
2004,17,CHI,NFC North,5-11,0,0
2004,17,CIN,AFC North,8-8,0,0
2004,17,CLE,AFC North,4-12,0,0
2004,17,DAL,NFC East,6-10,0,0
2004,17,DET,NFC North,6-10,0,0
2004,17,HOU,AFC South,7-9,0,0
2004,17,JAX,AFC South,9-7,0,0
2004,17,KC,AFC West,7-9,0,0
2004,17,MIA,AFC East,4-12,0,0
2004,17,NYG,NFC East,6-10,0,0
2004,17,OAK,AFC West,5-11,0,0
2004,17,SF,NFC West,2-14,0,0
2004,17,TB,NFC South,5-11,0,0
2004,17,TEN,AFC South,5-11,0,0
2004,17,WAS,NFC East,6-10,0,0
2005,1,DET,NFC North,1-0,0.528,0
2005,1,IND,AFC South,1-0,0.497,1
2005,1,SF,NFC West,1-0,0.488,0
2005,1,CIN,AFC North,1-0,0.476,1
2005,1,BUF,AFC East,1-0,0.474,0
2005,1,PIT,AFC North,1-0,0.472,1
2005,1,KC,AFC West,1-0,0.463,0
2005,1,DAL,NFC East,1-0,0.457,0
2005,1,NE,AFC East,1-0,0.455,1
2005,1,NO,NFC South,1-0,0.455,0
2005,1,TB,NFC South,1-0,0.453,1
2005,1,MIA,AFC East,1-0,0.44,0
2005,1,JAX,AFC South,1-0,0.438,1
2005,1,ATL,NFC South,1-0,0.436,0
2005,1,NYG,NFC East,1-0,0.434,1
2005,1,WAS,NFC East,1-0,0.379,1
2005,1,OAK,AFC West,0-1,0.345,0
2005,1,SEA,NFC West,0-1,0.322,1
2005,1,STL,NFC West,0-1,0.318,0
2005,1,PHI,NFC East,0-1,0.314,0
2005,1,CHI,NFC North,0-1,0.305,1
2005,1,DEN,AFC West,0-1,0.303,1
2005,1,SD,AFC West,0-1,0.299,0
2005,1,HOU,AFC South,0-1,0.286,0
2005,1,ARI,NFC West,0-1,0.284,0
2005,1,MIN,NFC North,0-1,0.284,0
2005,1,TEN,AFC South,0-1,0.276,0
2005,1,CAR,NFC South,0-1,0.272,1
2005,1,GB,NFC North,0-1,0.272,0
2005,1,CLE,AFC North,0-1,0.267,0
2005,1,NYJ,AFC East,0-1,0.267,0
2005,1,BAL,AFC North,0-1,0.242,0
2005,2,KC,AFC West,2-0,0.707,0
2005,2,IND,AFC South,2-0,0.697,1
2005,2,PIT,AFC North,2-0,0.663,1
2005,2,CIN,AFC North,2-0,0.627,1
2005,2,WAS,NFC East,2-0,0.621,1
2005,2,TB,NFC South,2-0,0.592,1
2005,2,NYG,NFC East,2-0,0.575,1
2005,2,DET,NFC North,1-1,0.493,0
2005,2,DAL,NFC East,1-1,0.451,0
2005,2,SF,NFC West,1-1,0.446,0
2005,2,MIA,AFC East,1-1,0.438,0
2005,2,BUF,AFC East,1-1,0.423,0
2005,2,JAX,AFC South,1-1,0.404,1
2005,2,NO,NFC South,1-1,0.404,0
2005,2,STL,NFC West,1-1,0.379,0
2005,2,CHI,NFC North,1-1,0.377,1
2005,2,NE,AFC East,1-1,0.366,1
2005,2,ATL,NFC South,1-1,0.349,0
2005,2,SEA,NFC West,1-1,0.316,1
2005,2,NYJ,AFC East,1-1,0.305,0
2005,2,DEN,AFC West,1-1,0.286,1
2005,2,TEN,AFC South,1-1,0.282,0
2005,2,CLE,AFC North,1-1,0.265,0
2005,2,PHI,NFC East,1-1,0.251,0
2005,2,CAR,NFC South,1-1,0.219,1
2005,2,MIN,NFC North,0-2,0.196,0
2005,2,GB,NFC North,0-2,0.168,0
2005,2,OAK,AFC West,0-2,0.168,0
2005,2,ARI,NFC West,0-2,0.164,0
2005,2,BAL,AFC North,0-2,0.133,0
2005,2,HOU,AFC South,0-2,0.118,0
2005,2,SD,AFC West,0-2,0.116,0
2005,3,IND,AFC South,3-0,0.804,1
2005,3,CIN,AFC North,3-0,0.758,1
2005,3,TB,NFC South,3-0,0.747,1
2005,3,KC,AFC West,2-1,0.672,0
2005,3,WAS,NFC East,2-0,0.623,1
2005,3,PIT,AFC North,2-1,0.585,1
2005,3,NYG,NFC East,2-1,0.573,1
2005,3,DET,NFC North,1-1,0.514,0
2005,3,STL,NFC West,2-1,0.512,0
2005,3,SEA,NFC West,2-1,0.499,1
2005,3,JAX,AFC South,2-1,0.493,1
2005,3,NE,AFC East,2-1,0.493,1
2005,3,DEN,AFC West,2-1,0.455,1
2005,3,ATL,NFC South,2-1,0.438,0
2005,3,MIA,AFC East,2-1,0.402,0
2005,3,DAL,NFC East,2-1,0.375,0
2005,3,PHI,NFC East,2-1,0.371,0
2005,3,CHI,NFC North,1-2,0.354,1
2005,3,TEN,AFC South,1-2,0.251,0
2005,3,SF,NFC West,1-2,0.248,0
2005,3,NYJ,AFC East,1-2,0.24,0
2005,3,BUF,AFC East,1-2,0.236,0
2005,3,CLE,AFC North,1-2,0.229,0
2005,3,NO,NFC South,1-2,0.219,0
2005,3,CAR,NFC South,1-2,0.192,1
2005,3,MIN,NFC North,1-2,0.192,0
2005,3,SD,AFC West,1-2,0.152,0
2005,3,GB,NFC North,0-3,0.084,0
2005,3,BAL,AFC North,0-2,0.082,0
2005,3,HOU,AFC South,0-2,0.076,0
2005,3,OAK,AFC West,0-3,0.074,0
2005,3,ARI,NFC West,0-3,0.061,0
2005,4,CIN,AFC North,4-0,0.933,1
2005,4,IND,AFC South,4-0,0.903,1
2005,4,TB,NFC South,4-0,0.855,1
2005,4,DEN,AFC West,3-1,0.72,1
2005,4,WAS,NFC East,3-0,0.701,1
2005,4,ATL,NFC South,3-1,0.573,0
2005,4,MIA,AFC East,2-1,0.571,0
2005,4,NYG,NFC East,3-1,0.524,1
2005,4,STL,NFC West,2-2,0.507,0
2005,4,PIT,AFC North,2-1,0.482,1
2005,4,SEA,NFC West,2-2,0.474,1
2005,4,PHI,NFC East,3-1,0.463,0
2005,4,NE,AFC East,2-2,0.442,1
2005,4,DET,NFC North,1-2,0.434,0
2005,4,JAX,AFC South,2-2,0.4,1
2005,4,KC,AFC West,2-2,0.356,0
2005,4,CHI,NFC North,1-2,0.341,1
2005,4,SD,AFC West,2-2,0.324,0
2005,4,DAL,NFC East,2-2,0.286,0
2005,4,MIN,NFC North,1-3,0.267,0
2005,4,CLE,AFC North,1-2,0.206,0
2005,4,CAR,NFC South,2-2,0.173,1
2005,4,NO,NFC South,2-2,0.166,0
2005,4,NYJ,AFC East,1-3,0.154,0
2005,4,BAL,AFC North,1-2,0.141,0
2005,4,BUF,AFC East,1-3,0.131,0
2005,4,SF,NFC West,1-3,0.124,0
2005,4,TEN,AFC South,1-3,0.124,0
2005,4,ARI,NFC West,1-3,0.072,0
2005,4,OAK,AFC West,1-3,0.067,0
2005,4,HOU,AFC South,0-3,0.046,0
2005,4,GB,NFC North,0-4,0.04,0
2005,5,IND,AFC South,5-0,0.964,1
2005,5,CIN,AFC North,4-1,0.857,1
2005,5,TB,NFC South,4-1,0.832,1
2005,5,DEN,AFC West,4-1,0.802,1
2005,5,SEA,NFC West,3-2,0.659,1
2005,5,WAS,NFC East,3-1,0.634,1
2005,5,PIT,AFC North,3-1,0.592,1
2005,5,NYG,NFC East,3-1,0.589,1
2005,5,DET,NFC North,2-2,0.499,0
2005,5,NE,AFC East,3-2,0.495,1
2005,5,PHI,NFC East,3-2,0.493,0
2005,5,MIA,AFC East,2-2,0.469,0
2005,5,ATL,NFC South,3-2,0.457,0
2005,5,JAX,AFC South,3-2,0.451,1
2005,5,DAL,NFC East,3-2,0.354,0
2005,5,STL,NFC West,2-3,0.324,0
2005,5,KC,AFC West,2-2,0.309,0
2005,5,CAR,NFC South,3-2,0.303,1
2005,5,CHI,NFC North,1-3,0.253,1
2005,5,MIN,NFC North,1-3,0.246,0
2005,5,CLE,AFC North,2-2,0.236,0
2005,5,SD,AFC West,2-3,0.183,0
2005,5,NO,NFC South,2-3,0.164,0
2005,5,NYJ,AFC East,2-3,0.164,0
2005,5,BUF,AFC East,2-3,0.143,0
2005,5,TEN,AFC South,2-3,0.141,0
2005,5,BAL,AFC North,1-3,0.099,0
2005,5,OAK,AFC West,1-3,0.088,0
2005,5,SF,NFC West,1-4,0.072,0
2005,5,GB,NFC North,1-4,0.069,0
2005,5,ARI,NFC West,1-4,0.053,0
2005,5,HOU,AFC South,0-4,0.006,0
2005,6,IND,AFC South,6-0,0.979,1
2005,6,CIN,AFC North,5-1,0.893,1
2005,6,DEN,AFC West,5-1,0.878,1
2005,6,TB,NFC South,5-1,0.848,1
2005,6,SEA,NFC West,4-2,0.827,1
2005,6,JAX,AFC South,4-2,0.663,1
2005,6,CAR,NFC South,4-2,0.539,1
2005,6,NYG,NFC East,3-2,0.531,1
2005,6,WAS,NFC East,3-2,0.514,1
2005,6,DAL,NFC East,4-2,0.507,0
2005,6,NE,AFC East,3-3,0.501,1
2005,6,PIT,AFC North,3-2,0.495,1
2005,6,ATL,NFC South,4-2,0.491,0
2005,6,DET,NFC North,2-3,0.472,0
2005,6,PHI,NFC East,3-2,0.381,0
2005,6,KC,AFC West,3-2,0.347,0
2005,6,CHI,NFC North,2-3,0.316,1
2005,6,MIA,AFC East,2-3,0.278,0
2005,6,CLE,AFC North,2-3,0.225,0
2005,6,BUF,AFC East,3-3,0.221,0
2005,6,STL,NFC West,2-4,0.198,0
2005,6,SD,AFC West,3-3,0.196,0
2005,6,MIN,NFC North,1-4,0.164,0
2005,6,NYJ,AFC East,2-4,0.139,0
2005,6,GB,NFC North,1-4,0.086,0
2005,6,TEN,AFC South,2-4,0.086,0
2005,6,BAL,AFC North,2-3,0.078,0
2005,6,NO,NFC South,2-4,0.065,0
2005,6,SF,NFC West,1-4,0.034,0
2005,6,ARI,NFC West,1-4,0.027,0
2005,6,OAK,AFC West,1-4,0.017,0
2005,6,HOU,AFC South,0-5,0.004,0
2005,7,IND,AFC South,7-0,0.992,1
2005,7,CIN,AFC North,5-2,0.886,1
2005,7,SEA,NFC West,5-2,0.876,1
2005,7,TB,NFC South,5-1,0.84,1
2005,7,DEN,AFC West,5-2,0.787,1
2005,7,JAX,AFC South,4-2,0.783,1
2005,7,ATL,NFC South,5-2,0.648,0
2005,7,PIT,AFC North,4-2,0.589,1
2005,7,KC,AFC West,4-2,0.547,0
2005,7,NE,AFC East,3-3,0.518,1
2005,7,PHI,NFC East,4-2,0.503,0
2005,7,NYG,NFC East,4-2,0.497,1
2005,7,CAR,NFC South,4-2,0.493,1
2005,7,WAS,NFC East,4-2,0.474,1
2005,7,CHI,NFC North,3-3,0.434,1
2005,7,DET,NFC North,3-3,0.427,0
2005,7,DAL,NFC East,4-3,0.413,0
2005,7,BUF,AFC East,3-4,0.272,0
2005,7,MIA,AFC East,2-4,0.194,0
2005,7,MIN,NFC North,2-4,0.156,0
2005,7,STL,NFC West,3-4,0.143,0
2005,7,SD,AFC West,3-4,0.122,0
2005,7,NYJ,AFC East,2-5,0.099,0
2005,7,CLE,AFC North,2-4,0.086,0
2005,7,BAL,AFC North,2-4,0.061,0
2005,7,ARI,NFC West,2-4,0.038,0
2005,7,TEN,AFC South,2-5,0.032,0
2005,7,OAK,AFC West,2-4,0.029,0
2005,7,GB,NFC North,1-5,0.025,0
2005,7,SF,NFC West,1-5,0.019,0
2005,7,NO,NFC South,2-5,0.015,0
2005,7,HOU,AFC South,0-6,0.002,0
2005,8,IND,AFC South,7-0,0.994,1
2005,8,DEN,AFC West,6-2,0.874,1
2005,8,SEA,NFC West,5-2,0.872,1
2005,8,CIN,AFC North,6-2,0.832,1
2005,8,PIT,AFC North,5-2,0.714,1
2005,8,TB,NFC South,5-2,0.699,1
2005,8,NE,AFC East,4-3,0.682,1
2005,8,ATL,NFC South,5-2,0.68,0
2005,8,CHI,NFC North,4-3,0.642,1
2005,8,NYG,NFC East,5-2,0.64,1
2005,8,JAX,AFC South,4-3,0.632,1
2005,8,CAR,NFC South,5-2,0.581,1
2005,8,KC,AFC West,4-3,0.531,0
2005,8,DAL,NFC East,5-3,0.417,0
2005,8,PHI,NFC East,4-3,0.417,0
2005,8,WAS,NFC East,4-3,0.383,1
2005,8,DET,NFC North,3-4,0.286,0
2005,8,MIA,AFC East,3-4,0.221,0
2005,8,STL,NFC West,4-4,0.204,0
2005,8,SD,AFC West,4-4,0.141,0
2005,8,BUF,AFC East,3-5,0.128,0
2005,8,MIN,NFC North,2-5,0.105,0
2005,8,OAK,AFC West,3-4,0.097,0
2005,8,NYJ,AFC East,2-5,0.063,0
2005,8,CLE,AFC North,2-5,0.046,0
2005,8,BAL,AFC North,2-5,0.038,0
2005,8,ARI,NFC West,2-5,0.027,0
2005,8,SF,NFC West,2-5,0.023,0
2005,8,GB,NFC North,1-6,0.021,0
2005,8,TEN,AFC South,2-6,0.006,0
2005,8,HOU,AFC South,1-6,0.002,0
2005,8,NO,NFC South,2-6,0.002,0
2005,9,IND,AFC South,8-0,0.998,1
2005,9,SEA,NFC West,6-2,0.931,1
2005,9,CIN,AFC North,7-2,0.922,1
2005,9,DEN,AFC West,6-2,0.886,1
2005,9,PIT,AFC North,6-2,0.855,1
2005,9,CHI,NFC North,5-3,0.825,1
2005,9,ATL,NFC South,6-2,0.789,0
2005,9,CAR,NFC South,6-2,0.777,1
2005,9,NYG,NFC East,6-2,0.775,1
2005,9,NE,AFC East,4-4,0.672,1
2005,9,JAX,AFC South,5-3,0.648,1
2005,9,TB,NFC South,5-3,0.503,1
2005,9,DAL,NFC East,5-3,0.429,0
2005,9,KC,AFC West,5-3,0.389,0
2005,9,WAS,NFC East,5-3,0.356,1
2005,9,MIA,AFC East,3-5,0.244,0
2005,9,SD,AFC West,5-4,0.234,0
2005,9,PHI,NFC East,4-4,0.221,0
2005,9,STL,NFC West,4-4,0.171,0
2005,9,DET,NFC North,3-5,0.122,0
2005,9,MIN,NFC North,3-5,0.086,0
2005,9,BUF,AFC East,3-5,0.076,0
2005,9,NYJ,AFC East,2-6,0.029,0
2005,9,OAK,AFC West,3-5,0.025,0
2005,9,CLE,AFC North,3-5,0.015,0
2005,9,SF,NFC West,2-6,0.008,0
2005,9,BAL,AFC North,2-6,0.006,0
2005,9,ARI,NFC West,2-6,0.002,0
2005,9,GB,NFC North,1-7,0.002,0
2005,9,NO,NFC South,2-7,0.002,0
2005,9,HOU,AFC South,1-7,0,0
2005,9,TEN,AFC South,2-7,0,0
2005,10,IND,AFC South,9-0,0.998,1
2005,10,SEA,NFC West,7-2,0.985,1
2005,10,PIT,AFC North,7-2,0.928,1
2005,10,CIN,AFC North,7-2,0.916,1
2005,10,DEN,AFC West,7-2,0.909,1
2005,10,CHI,NFC North,6-3,0.884,1
2005,10,CAR,NFC South,7-2,0.846,1
2005,10,NE,AFC East,5-4,0.796,1
2005,10,JAX,AFC South,6-3,0.764,1
2005,10,NYG,NFC East,6-3,0.68,1
2005,10,ATL,NFC South,6-3,0.653,0
2005,10,DAL,NFC East,6-3,0.592,0
2005,10,TB,NFC South,6-3,0.587,1
2005,10,WAS,NFC East,5-4,0.383,1
2005,10,KC,AFC West,5-4,0.265,0
2005,10,SD,AFC West,5-4,0.198,0
2005,10,MIN,NFC North,4-5,0.133,0
2005,10,BUF,AFC East,4-5,0.131,0
2005,10,STL,NFC West,4-5,0.118,0
2005,10,PHI,NFC East,4-5,0.08,0
2005,10,MIA,AFC East,3-6,0.074,0
2005,10,DET,NFC North,4-5,0.059,0
2005,10,NYJ,AFC East,2-7,0.015,0
2005,10,CLE,AFC North,3-6,0.004,0
2005,10,OAK,AFC West,3-6,0.002,0
2005,10,ARI,NFC West,2-7,0,0
2005,10,BAL,AFC North,2-7,0,0
2005,10,GB,NFC North,2-7,0,0
2005,10,HOU,AFC South,1-8,0,0
2005,10,NO,NFC South,2-7,0,0
2005,10,SF,NFC West,2-7,0,0
2005,10,TEN,AFC South,2-7,0,0
2005,11,IND,AFC South,10-0,1,1
2005,11,SEA,NFC West,8-2,0.996,1
2005,11,DEN,AFC West,8-2,0.954,1
2005,11,NE,AFC East,6-4,0.907,1
2005,11,CHI,NFC North,7-3,0.905,1
2005,11,JAX,AFC South,7-3,0.88,1
2005,11,CAR,NFC South,7-3,0.869,1
2005,11,CIN,AFC North,7-3,0.865,1
2005,11,PIT,AFC North,7-3,0.853,1
2005,11,TB,NFC South,7-3,0.846,1
2005,11,NYG,NFC East,7-3,0.762,1
2005,11,DAL,NFC East,7-3,0.726,0
2005,11,ATL,NFC South,6-4,0.377,0
2005,11,SD,AFC West,6-4,0.227,0
2005,11,KC,AFC West,6-4,0.208,0
2005,11,MIN,NFC North,5-5,0.194,0
2005,11,WAS,NFC East,5-5,0.194,1
2005,11,BUF,AFC East,4-6,0.08,0
2005,11,PHI,NFC East,4-6,0.055,0
2005,11,STL,NFC West,4-6,0.038,0
2005,11,DET,NFC North,4-6,0.036,0
2005,11,MIA,AFC East,3-7,0.013,0
2005,11,NYJ,AFC East,2-8,0.006,0
2005,11,CLE,AFC North,4-6,0.004,0
2005,11,ARI,NFC West,3-7,0.002,0
2005,11,OAK,AFC West,4-6,0.002,0
2005,11,BAL,AFC North,3-7,0,0
2005,11,GB,NFC North,2-8,0,0
2005,11,HOU,AFC South,1-9,0,0
2005,11,NO,NFC South,2-8,0,0
2005,11,SF,NFC West,2-8,0,0
2005,11,TEN,AFC South,2-8,0,0
2005,12,IND,AFC South,11-0,1,1
2005,12,SEA,NFC West,9-2,1,1
2005,12,DEN,AFC West,9-2,0.992,1
2005,12,CHI,NFC North,8-3,0.971,1
2005,12,NE,AFC East,6-5,0.924,1
2005,12,CAR,NFC South,8-3,0.922,1
2005,12,JAX,AFC South,8-3,0.922,1
2005,12,CIN,AFC North,8-3,0.88,1
2005,12,TB,NFC South,7-4,0.785,1
2005,12,NYG,NFC East,7-4,0.741,1
2005,12,DAL,NFC East,7-4,0.699,0
2005,12,PIT,AFC North,7-4,0.564,1
2005,12,ATL,NFC South,7-4,0.507,0
2005,12,SD,AFC West,7-4,0.356,0
2005,12,KC,AFC West,7-4,0.284,0
2005,12,MIN,NFC North,6-5,0.24,0
2005,12,WAS,NFC East,5-6,0.061,1
2005,12,MIA,AFC East,4-7,0.04,0
2005,12,BUF,AFC East,4-7,0.036,0
2005,12,STL,NFC West,5-6,0.036,0
2005,12,PHI,NFC East,5-6,0.034,0
2005,12,DET,NFC North,4-7,0.002,0
2005,12,NO,NFC South,3-8,0.002,0
2005,12,NYJ,AFC East,2-9,0.002,0
2005,12,ARI,NFC West,3-8,0,0
2005,12,BAL,AFC North,3-8,0,0
2005,12,CLE,AFC North,4-7,0,0
2005,12,GB,NFC North,2-9,0,0
2005,12,HOU,AFC South,1-10,0,0
2005,12,OAK,AFC West,4-7,0,0
2005,12,SF,NFC West,2-9,0,0
2005,12,TEN,AFC South,3-8,0,0
